"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
40,"female",12,16.7973539029524,12,4,8,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",10,17.6814251610025,14,9,2,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",8,17.6814251610025,11,5,9,3.69732270199545,4.21282133843617,4.62039362811274
54,"female",12,15.9132826449023,10,4,12,3.2468037561864,3.89107866828474,4.4114026247153
21,"male",11,13.2610688707519,14,11,0.2,2.83383016719615,3.55038972133668,4.16807533947194
24,"male",6,18.5654964190527,14,12,4,4.23213115962821,4.49062347096964,4.71249401035485
31,"female",14,15.0292113868522,14,8,11,4.23213115962821,4.49062347096964,4.71249401035485
41,"female",11,18.5654964190527,13,7,5,4.23213115962821,4.49062347096964,4.71249401035485
56,"female",4,12.3769976127018,12,7,5,3.46478146775232,4.05479849149355,4.52267785046701
47,"female",8,14.145140128802,12,7,8,3.59049729212488,4.14264128983652,4.57873837323416
35,"male",5,15.9132826449023,10,6,16,3.3334343932975,3.95769658728398,4.45743452450772
25,"male",10,17.6814251610025,13,7,6,4.23213115962821,4.49062347096964,4.71249401035485
25,"female",14,14.145140128802,12,6,2,3.46476960329964,4.05478995364841,4.52267224185705
51,"male",8,16.7973539029524,11,7,32,4.23213115962821,4.49062347096964,4.71249401035485
29,"male",14,9.7247838385514,14,13,1,2.24139001034483,2.98509898119024,3.73209491749637
28,"female",13,16.7973539029524,12,8,2.5,4.23213115962821,4.49062347096964,4.71249401035485
43,"female",10,18.5654964190527,14,7,6,4.23213115962821,4.49062347096964,4.71249401035485
47,"female",14,6.18849880635089,14,4,2,2.38546170911035,3.1334503019865,3.85284677482455
57,"male",8,15.9132826449023,12,6,31,3.69732270199545,4.21282133843617,4.62039362811274
37,"male",3,16.7973539029524,6,2,21,3.58436995173863,4.13848687931203,4.57617265172813
62,"female",10,15.9132826449023,12,9,11,3.95228538909692,4.36162326336957,4.69231057689414
44,"male",14,17.6814251610025,12,10,16,4.23213115962821,4.49062347096964,4.71249401035485
51,"male",10,17.6814251610025,11,7,9,3.95219527907281,4.36157564792909,4.6922930419966
25,"female",10,16.7973539029524,12,4,5,3.95228538909692,4.36162326336957,4.69231057689414
29,"male",14,15.9132826449023,11,12,1,3.4648025053545,4.05481363037066,4.5226877953066
18,"female",7,16.7973539029524,11,8,1.5,2.92377428823388,3.62769990961948,4.22414819995874
22,"male",14,12.3769976127018,13,12,3.5,3.32016293683332,3.9476154303417,4.45052276082668
43,"male",5,15.0292113868522,14,12,18,2.7910931885755,3.51301294874601,4.14077771131323
50,"female",11,12.3769976127018,10,9,31,2.33768970847972,3.08518988540762,3.8142272567869
25,"female",5,15.0292113868522,12,6,3,2.65562908339755,3.39156886259814,4.0510558859309
31,"male",3,17.6814251610025,14,4,11,3.86360970814084,4.31301668131456,4.67218227398345
42,"female",14,13.2610688707519,12,13,3,3.16713452119466,3.82821975028825,4.36733596350288
28,"female",3,15.9132826449023,10,4,6,3.69726026805738,4.21278160189603,4.62037106965084
20,"female",13,17.6814251610025,12,11,3,3.95219527907281,4.36157564792909,4.6922930419966
25,"male",14,15.9132826449023,13,5,3.5,3.57476525177949,4.13194760501386,4.57211449737876
35,"male",8,15.9132826449023,13,10,1,2.92377428823388,3.62769990961948,4.22414819995874
33,"male",10,15.0292113868522,14,8,12,4.23213115962821,4.49062347096964,4.71249401035485
44,"female",14,18.5654964190527,14,2,1,3.83030012138725,4.29387181904988,4.66320637082167
47,"female",13,18.5654964190527,10,6,28,3.11928518935506,3.78978435694912,4.34016241625316
42,"male",8,15.9132826449023,14,5,10,4.23213115962821,4.49062347096964,4.71249401035485
28,"female",11,17.6814251610025,9,10,3,4.23213115962821,4.49062347096964,4.71249401035485
22,"male",8,16.7973539029524,12,5,5,4.23213115962821,4.49062347096964,4.71249401035485
42,"male",11,15.9132826449023,13,8,24,3.95233621653558,4.36165011970414,4.69232046490716
41,"male",13,15.9132826449023,13,7,13,3.09805131265941,3.77257007014989,4.3279446543961
25,"male",5,18.5654964190527,14,11,1,3.27452056083277,3.91259728718006,4.42635827361775
43,"male",14,18.5654964190527,14,4,27,4.23213115962821,4.49062347096964,4.71249401035485
50,"male",10,18.5654964190527,10,8,16,3.69732270199545,4.21282133843617,4.62039362811274
28,"male",3,16.7973539029524,13,3,12,3.95233621653558,4.36165011970414,4.69232046490716
45,"male",7,15.9132826449023,10,8,16,3.59449649398796,4.14534546932838,4.5804031360952
